Name,Gender,DateOfBirth,DateOfBaptism,Role,September_Shared,September_Studies,September_AuxiliaryPioneer,September_Hours,September_Remarks,October_Shared,October_Studies,October_AuxiliaryPioneer,October_Hours,October_Remarks,November_Shared,November_Studies,November_AuxiliaryPioneer,November_Hours,November_Remarks,December_Shared,December_Studies,December_AuxiliaryPioneer,December_Hours,December_Remarks,January_Shared,January_Studies,January_AuxiliaryPioneer,January_Hours,January_Remarks,February_Shared,February_Studies,February_AuxiliaryPioneer,February_Hours,February_Remarks,March_Shared,March_Studies,March_AuxiliaryPioneer,March_Hours,March_Remarks,April_Shared,April_Studies,April_AuxiliaryPioneer,April_Hours,April_Remarks,May_Shared,May_Studies,May_AuxiliaryPioneer,May_Hours,May_Remarks,June_Shared,June_Studies,June_AuxiliaryPioneer,June_Hours,June_Remarks,July_Shared,July_Studies,July_AuxiliaryPioneer,July_Hours,July_Remarks,August_Shared,August_Studies,August_AuxiliaryPioneer,August_Hours,August_Remarks
owonta onyedika k,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owonta dabere,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 3,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 4,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 5,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 6,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 7,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 8,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 9,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 10,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher 11,Male,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
